media_cinza_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,R_std_cafe,G_std_cafe,B_std_cafe,media_cinza_folha,Agtron
53.638,25.596,48.583,74.233,22.249,31.613,36.839,168.444,medio
54.347,26.608,49.326,74.75,22.747,31.847,37.17,168.444,medio
53.642,25.649,48.605,74.183,21.656,30.614,36.287,168.444,medio
54.115,26.282,49.168,74.419,22.11,31.443,36.965,168.444,medio
53.198,25.349,48.245,73.522,21.98,30.976,35.786,168.444,medio
55.257,25.849,50.118,76.513,21.444,29.907,34.29,171.802,medio
55.492,26.025,50.475,76.542,21.578,30.539,35.025,171.802,medio
57.219,29.107,52.365,77.436,23.492,31.04,34.477,171.802,medio
57.195,30.335,52.669,76.307,24.054,30.914,33.875,171.802,medio
58.34,28.308,53.177,79.874,22.745,30.718,34.237,171.802,medio
58.9,27.963,53.648,80.958,22.294,30.411,34.083,171.802,medio
57.485,27.65,52.372,78.866,22.717,30.93,34.948,171.802,medio
59.293,28.668,54.244,80.835,22.935,30.874,34.424,171.802,medio
58.412,29.462,53.359,79.333,24.294,32.221,36.132,171.802,medio
59.365,28.684,54.301,80.966,22.327,30.386,33.975,171.802,medio
58.076,27.689,52.939,79.705,22.061,29.907,33.758,171.802,medio
59.079,27.703,53.834,81.302,22.142,30.304,34.112,171.802,medio
58.818,28.695,53.773,80.168,22.472,29.956,33.43,171.802,medio
57.363,27.455,52.303,78.658,22.16,30.614,34.497,171.802,medio
58.958,30.374,54.17,79.215,24.098,31.457,34.703,171.802,medio
58.382,27.38,53.218,80.295,21.832,29.792,33.358,171.802,medio
57.359,27.99,52.445,78.161,22.922,31.087,34.736,171.802,medio
55.992,27.159,51.004,76.738,22.071,29.45,33.062,171.802,medio
60.106,29.32,55.049,81.73,22.606,30.726,34.407,171.802,medio
58.273,27.75,53.112,80.007,22.102,30.404,34.346,171.802,medio
57.633,28.09,52.66,78.625,22.98,30.716,34.457,171.802,medio
65.513,33.351,60.951,86.699,25.754,34.064,37.234,171.475,claro
67.538,31.711,62.942,90.172,24.701,33.635,37.125,171.475,claro
65.563,30.446,60.93,87.998,23.667,33.08,36.726,171.475,claro
66.631,31.515,62.032,88.997,24.998,34.342,37.899,171.475,claro
66.785,32.093,62.183,89.016,26.286,36.143,39.909,171.475,claro
68.202,31.926,63.492,91.234,23.634,32.635,36.083,171.475,claro
66.747,33.222,62.351,88.122,25.719,34.605,37.767,171.475,claro
65.459,30.82,60.871,87.626,24.301,33.866,37.682,171.475,claro
64.356,30.417,59.729,86.339,24.053,33.377,36.721,171.475,claro
67.772,31.856,63.043,90.706,25.868,35.613,39.367,171.475,claro
69.004,31.201,64.161,92.886,24.159,34.393,38.668,171.475,claro
67.771,30.331,62.744,91.884,23.752,33.935,38.54,171.475,claro
68.962,31.864,64.12,92.58,25.471,36.136,40.374,171.475,claro
68.131,30.991,63.151,92.032,24.736,35.046,39.219,171.475,claro
69.161,31.869,64.228,93.033,24.372,34.822,39.212,171.475,claro
65.871,30.153,60.867,89.284,23.935,34.196,39.041,171.475,claro
